,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
8759,4,2.0,1.0,1.0,$998.00,2,1125,27
8760,4,1.0,1.0,2.0,$525.00,2,1125,3
8761,2,1.0,1.0,1.0,$401.00,2,4,0
8762,2,1.0,0.0,1.0,$650.00,4,1125,1
8763,2,1.0,1.0,1.0,$598.00,2,40,13
8764,4,2.0,1.0,2.0,"$1,077.00",4,30,1
8765,8,3.0,1.0,4.0,$591.00,4,1125,10
8766,4,1.0,1.0,2.0,$696.00,1,1125,0
8767,2,1.0,1.0,1.0,$598.00,7,14,0
8768,2,1.0,1.0,1.0,$552.00,2,1125,11
8769,4,1.0,1.0,2.0,$801.00,3,1125,34
8770,3,1.0,1.0,1.0,$302.00,5,14,2
8771,2,1.0,1.0,1.0,$302.00,1,1125,8
8772,4,2.0,1.0,2.0,$860.00,5,1125,20
8773,4,2.0,1.0,2.0,$749.00,3,1125,1
8774,4,2.0,1.0,2.0,"$1,051.00",6,1125,16
8775,2,2.0,1.0,1.0,$900.00,6,1125,0
8776,3,1.0,1.0,1.0,$821.00,2,14,11
8777,3,1.0,1.0,2.0,"$1,248.00",4,9,0
8778,4,2.0,1.0,2.0,$650.00,5,1125,1
8779,2,1.0,1.0,2.0,$250.00,2,1125,19
8780,1,1.0,1.0,1.0,$328.00,5,120,17
8781,5,2.0,1.0,3.0,$900.00,1,1125,16
8782,5,2.0,1.5,5.0,$992.00,4,1125,0
8783,2,1.0,1.0,2.0,$506.00,8,12,19
8784,4,2.0,1.0,2.0,"$1,248.00",3,30,10
8785,2,1.0,1.0,1.0,"$1,005.00",2,1125,7
8786,2,1.0,1.0,1.0,$703.00,2,14,8
8787,2,1.0,1.0,1.0,$302.00,4,1125,6
8788,4,3.0,1.0,3.0,$998.00,4,1125,2
8789,5,2.0,1.0,2.0,$552.00,3,1125,2
8790,2,1.0,1.0,1.0,$598.00,3,1125,25
8791,5,2.0,1.0,5.0,"$1,451.00",6,30,6
8792,2,1.0,1.0,1.0,$998.00,2,15,20
8793,2,1.0,1.0,1.0,$479.00,1,1125,0
8794,4,1.0,1.0,2.0,$631.00,4,1124,24
8795,2,1.0,0.5,1.0,$348.00,5,1125,3
8796,10,4.0,1.0,5.0,"$3,329.00",3,30,25
8797,2,1.0,1.0,1.0,$348.00,5,28,2
8798,11,6.0,2.0,11.0,"$2,252.00",7,1125,2
8799,3,1.0,1.0,1.0,$932.00,4,1125,12
8800,2,1.0,1.0,1.0,$598.00,2,1125,38
8801,1,1.0,1.0,1.0,$250.00,4,1125,47
8802,4,2.0,1.0,2.0,$401.00,1,1125,0
8803,3,2.0,1.0,2.0,$795.00,5,1125,10
8804,6,4.0,2.0,4.0,"$1,399.00",5,1125,5
8805,2,1.0,1.0,1.0,$598.00,1,1125,0
8806,2,1.0,1.0,1.0,$433.00,2,1125,29
8807,2,1.0,1.5,1.0,$250.00,14,1125,1
8808,3,2.0,1.0,2.0,$801.00,3,1125,12
8809,3,1.0,1.0,1.0,$552.00,1,1125,0
8810,5,2.0,1.0,2.0,$801.00,2,1125,31
8811,4,2.0,1.0,2.0,$998.00,2,1125,15
8812,4,2.0,1.0,2.0,$998.00,2,1125,27
8813,2,1.0,1.0,2.0,$801.00,1,1125,0
8814,8,4.0,2.0,4.0,"$1,497.00",3,21,30
8815,2,1.0,1.0,1.0,$427.00,1,1125,0
8816,8,4.0,1.5,4.0,"$1,602.00",3,1125,25
8817,4,1.0,1.0,3.0,$795.00,3,1125,0
8818,2,1.0,1.0,1.0,$650.00,1,1125,0
8819,2,1.0,1.0,2.0,$552.00,3,1125,4
8820,2,1.0,1.0,1.0,$302.00,1,1125,0
8821,3,1.0,1.0,1.0,$598.00,4,1125,12
8822,3,1.0,1.0,1.0,$598.00,1,1125,4
8823,7,3.0,1.0,3.0,"$2,896.00",3,1125,0
8824,2,1.0,1.0,1.0,$171.00,1,19,1
8825,4,1.0,1.0,3.0,$801.00,3,1125,19
8826,3,1.0,1.0,3.0,$348.00,2,1125,0
8827,5,2.0,1.0,2.0,$801.00,14,40,3
8828,2,1.0,1.0,1.0,$749.00,2,1125,28
8829,2,1.0,1.0,1.0,$847.00,1,1125,4
